x,y,z,Yaw (deg),Pitch (deg),Roll (deg)
0.13917310096006547,0.0,0.9902680687415704,0.0,82.0,0.0
0.10452846326765347,0.0,0.9945218953682734,0.0,84.0,0.0
0.06975647374412525,0.0,0.9975640502598243,0.0,86.0,0.0
0.03489949670250108,0.0,0.9993908270190958,0.0,88.0,0.0
6.123233995736766e-17,0.0,1.0,0.0,90.0,0.0
6.119503887030809e-17,2.136977846428571e-18,-1.0,2.0,-90.0,0.0
0.03487823687206276,0.00121797487008788,-0.9993908270190958,2.0,-88.0,0.0
0.06971397998507717,0.0024344658254111945,-0.9975640502598243,2.0,-86.0,0.0
0.10446478735209537,0.003647990759126966,-0.9945218953682734,2.0,-84.0,0.0
0.13908832046729194,0.004857071178032639,-0.9902680687415704,2.0,-82.0,0.0
0.1735423958889125,0.006060234003882341,-0.9848077530122081,2.0,-80.0,0.0
0.20778503663329917,0.007256013368105797,-0.9781476007338056,2.0,-78.0,0.0
0.24177452331737923,0.008442952397743385,-0.9702957262759965,2.0,-76.0,0.0
0.2754694449873076,0.009619604990421448,-0.9612616959383189,2.0,-74.0,0.0
0.30882874957133405,0.01078453757620524,-0.9510565162951536,2.0,-72.0,0.0
0.34181179389542987,0.01193633086418309,-0.9396926207859084,2.0,-70.0,0.0
0.3743783932007344,0.01307358157165374,-0.9271838545667874,2.0,-68.0,0.0
0.4064888701024948,0.014194904133810205,-0.913545457642601,2.0,-66.0,0.0
0.43810410293084556,0.015298932391836977,-0.898794046299167,2.0,-64.0,0.0
0.4691855733945388,0.016384321257364175,-0.8829475928589269,2.0,-62.0,0.0
0.499695413509548,0.017449748351250488,-0.8660254037844386,2.0,-60.0,0.0
0.5295964517353734,0.018493915614698476,-0.848048096156426,2.0,-58.0,0.0
0.558852258262839,0.01951555089073927,-0.8290375725550417,2.0,-56.0,0.0
0.5874271893982026,0.020513409474159867,-0.8090169943749475,2.0,-54.0,0.0
0.6152864309895063,0.021486275627984695,-0.788010753606722,2.0,-52.0,0.0
0.6423960408422583,0.02243296406466386,-0.766044443118978,2.0,-50.0,0.0
0.6687229900727684,0.023352321390163445,-0.7431448254773942,2.0,-48.0,0.0
0.6942352033487548,0.024243227509198474,-0.7193398003386512,2.0,-46.0,0.0
0.7189015979681959,0.025104596989896463,-0.6946583704589973,2.0,-44.0,0.0
0.7426921217288146,0.02593538038622898,-0.6691306063588582,2.0,-42.0,0.0
0.7655777895420582,0.02673456551659997,-0.6427876096865394,2.0,-40.0,0.0
0.7875307187469627,0.027501178697033096,-0.6156614753256583,2.0,-38.0,0.0
0.8085241630808819,0.028234285927455725,-0.5877852522924731,2.0,-36.0,0.0
0.8285325452656866,0.028932994029634083,-0.5591929034707469,2.0,-34.0,0.0
0.8475314881697402,0.029596451735373414,-0.5299192642332049,2.0,-32.0,0.0
0.8654978445076765,0.03022385072365709,-0.49999999999999994,2.0,-30.0,0.0
0.8824097250418029,0.03081442660546129,-0.4694715627858908,2.0,-28.0,0.0
0.898246525250764,0.031367459855045285,-0.4383711467890774,2.0,-26.0,0.0
0.9129889504329772,0.03188227668658269,-0.4067366430758002,2.0,-24.0,0.0
0.9266190392142547,0.032358249875065734,-0.374606593415912,2.0,-22.0,0.0
0.9391201854309705,0.0327947995204823,-0.3420201433256687,2.0,-20.0,0.0
0.9504771583621137,0.03319139375433477,-0.3090169943749474,2.0,-18.0,0.0
0.9606761212855751,0.03354754938763985,-0.27563735581699916,2.0,-16.0,0.0
0.9697046483360623,0.033862832499619924,-0.24192189559966773,2.0,-14.0,0.0
0.9775517396441024,0.034136858966368686,-0.20791169081775934,2.0,-12.0,0.0
0.984207834737688,0.03436929492884695,-0.17364817766693036,2.0,-10.0,0.0
0.9896648241902408,0.03455985719963844,-0.13917310096006544,2.0,-8.0,0.0
0.9939160595006973,0.03470831360797007,-0.10452846326765347,2.0,-6.0,0.0
0.9969563611936846,0.034814483282576254,-0.06975647374412532,2.0,-4.0,0.0
